name,segment_ids,id,descriptn,part_of
Springwater Corridor - Connector,168347;168552;168851;168873;168874;169519;169522;169559;169612;169630;169763;169826;169934;170045;170090;170349;170398;170488;170492;170594;170611;171304;171547;171548;171593;171594;171603;171604;172320;172321;172547;172558;172642;172848;172857;173025;173154;173179;173180;173240;173324;173497;173516;173530;173641;173904;173941;174058;174242;174322;174641;174872;175117;175481;175777;175779;176012;176347;177129;177324;177325;177649;177650;178226;178501;178646;178722;179361;180093;180095;180432;180545;181553;181554;181555;181556;181557;181558;181559;181560;181561;181562;181563;181565;181566;181567;181569;181570;181571;181572;181573;181575;181576;181577;181578,170349,,""
Wildwood Trail,165800;167703;167706;170865;171219;171632;172244;173192;174033;174202;174203;174204;174205;174264;174265;174267;174935;174936;175459;175460;175614;175635;175637;175639;175667;175668;175671;175673;175674;175676;175678;175679;175723;175724;175730;175731;175733;175768;175770;175771;175804;175813;175859;175869;175870;175872;175873;175876;175891;175892;175893;175925;175926;175951;175953;175954;175955;175959;175978;176029;176030;176031;176034;176035;176036;176044;176064;176065;176080;176081;176082;176083;176088;176090;176091;176132;176133;176136;176137;176138;176139;176141;176143;176149;176153;176155;176156;176185;176187;176188;176190;176191;176193;176195;176196;176214;176215;176216;176247;176248;176317;176318;176322;176323;176324;176326;176409;176410;176412;176413;176415;176416;176417;176565;176568;176571;176574;176576;176578;176579;176580;176581;176583;176650;176651;176652;176653;176654;176656;176657;176666;176786;176787;178674;179812,165800,,""
Water Bureau Access Rd,165841;170965;172460;173742;174743;175898;176397;176401;178435;178821;179540,165841,,""
Sullivan's Gulch Trail,167694;168630;170384;180475,170384,,""
Overlook Trail,165852;165862;165863;165869;166055;169684;170896;171250;171622;172096;172174;173070;174054;174399;174400;174590;174866;175206;176926;177153;177169;177468;177655;177734;177823;178396;178462;178613;178625;178833;179134;179320;179483;179484;181825,165852,,""
Center Loop,167570;170393;170811;172214;172215;172477;172570;175242;175284;175595;176157;176282;176842;177197;177524;179355;179356;179396;179397;179547,170393,,""
Marine Drive Trail,165845;167090;167250;167825;167857;168072;168075;168200;168320;168321;168322;168551;168553;168597;168613;168859;168880;169124;169188;169401;169462;169609;169653;169756;169866;169999;170076;170093;170098;170399;170545;171027;171104;171105;171168;171186;171384;171405;171575;171677;171718;171719;171720;171790;171914;171944;171964;172221;172687;172688;172846;172951;173114;173267;173710;173953;174090;174091;174117;174118;174128;174642;174739;175147;175207;175419;175749;175897;176513;176728;176729;176730;176731;176819;176820;176821;176822;176824;176825;176826;176969;177198;178506;179676;179761;180551;180695;180760;180761;180829;180830;180831;180832;180833;180834;180835;180883;180884;180996;180997;181000;181003;181046;181047;181343,170399,,""
South Waterfront Park Trail,169731;169817;170408;173815;174308;178550;179734,170408,,""
Council Crest Trail,170210;170411;171929;172189;172190;172877;173727;174017;180885,170411,,""
North Portland Willamette Greenway,165840;166029;167093;167352;167364;168199;168476;168477;168598;168663;168744;168941;169075;169121;169176;169177;169178;169179;169195;169419;169480;169492;169493;169531;169583;169615;169622;169747;169748;169758;169806;169853;169856;169857;169973;169995;170074;170097;170255;170307;170415;170476;170581;170583;170584;170655;170827;170863;171016;171064;171065;171089;171106;171187;171195;171283;171360;171407;171481;171550;171560;171674;171732;171738;171742;171797;171828;171879;171945;171981;172003;172140;172219;172254;172267;172309;172337;172605;172694;172695;172701;172710;172730;172783;172821;172833;172900;172920;172948;172950;172962;172965;172994;173013;173018;173046;173055;173057;173096;173174;173260;173345;173346;173379;173413;173457;173461;173484;173514;173575;173591;173676;173688;173817;173834;173835;173845;173856;173880;173960;173961;174466;174467;174472;174648;174673;175269;175343;175361;175362;175477;175759;175974;176001;176203;176530;176785;177085;177453;177688;177828;178031;178092;178096;178097;178117;178393;178496;178672;178686;178826;178900;178954;179039;179105;179238;179559;179567;180081;180552;180553;180554;180555;180557;180558;180559;180560;180561;180562;180565;181351;181352;181447;181448,170415,,""
